India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,251791722,136204917,1322538,263529,120761,134498089,26233480,84162385,5190940
Andaman & Nicobar Islands,75107,52059,3004,802,0,48253,1895,21153,0
Andhra Pradesh,8622192,4256013,28916,5247,2104,4219746,162899,4187640,15640
Arunachal Pradesh,325018,205522,10198,5284,540,189500,21500,93366,4630
Assam,7116900,5151710,51422,11951,4285,5084052,324992,1412202,227996
Bihar,24543698,20359013,50321,15866,2649,20290177,155345,2782051,1247289
Chandigarh,270310,164241,7223,531,1675,154812,9132,90453,6484
Chhattisgarh,5764210,4082523,35467,11294,4657,4031105,71751,1600253,9683
"Dadra & Nagar Haveli andDaman & Diu",139967,93770,1606,1204,0,90960,7051,38968,178
Delhi,4628514,2776216,125315,781,0,2650120,149575,1702723,0
Goa,309594,42653,4635,777,0,37241,225739,41202,0
Gujarat,11499580,5511272,41898,12521,2432,5454421,1709745,4277455,1108
Haryana,5727319,2464486,35204,10131,2378,2416773,2604,3173216,87013
Himachal Pradesh,1419388,872058,15301,5738,2280,848739,0,547285,45
Jammu & Kashmir,2614335,1454668,29433,6547,0,1418688,201,1152187,7279
Jharkhand,7209261,4943098,31805,6977,6904,4897412,290174,1134152,841837
Karnataka,12398654,5327221,57852,11585,4980,5252804,1511537,5559218,678
Kerala,6185360,1854934,53582,7179,185,1793988,2782767,1460413,87246
Ladakh,58841,28667,1043,925,321,26378,569,29605,0
Lakshadweep,12587,12587,294,171,0,12122,0,0,0
Madhya Pradesh,15241680,9095629,113989,25402,5518,8950720,101752,5980863,63436
Maharashtra,21150066,5481157,76985,14735,13337,5376100,9753430,5877079,38400
Manipur,655620,212608,6352,5309,4200,196747,29249,402131,11632
Meghalaya,1074966,438863,5058,3937,0,429868,356964,242014,37125
Mizoram,293203,135515,1813,1682,342,131678,21028,129896,6764
Nagaland,415655,156175,1838,2446,733,151158,0,259392,88
Odisha,7649925,5267551,63518,15063,5261,5183709,938874,1360691,82809
Puducherry,251481,91295,4762,1806,0,84727,23316,136870,0
Punjab,5915223,2902536,51274,10713,4242,2836307,188500,2823297,890
Rajasthan,17707162,9250493,70831,17248,3387,9159027,0,8309461,147208
Sikkim,128204,79597,922,1538,25,77112,3860,44747,0
Tamil Nadu,12880110,5042026,60190,0,11316,4970520,2139309,5671829,26946
Telangana,7027086,3009212,32350,3337,8205,2965320,86664,3927042,4168
Tripura,694539,524284,7195,2928,0,514161,26893,129191,14171
Uttar Pradesh,41672205,18018332,168708,33143,14218,17802263,4952318,17317238,1384317
Uttarakhand,2357204,942657,42319,6105,2371,891862,157625,1200106,56816
West Bengal,17756558,15904276,29915,2626,12216,15859519,26222,1046996,779064
