India/State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,93.2,93,99.3,99.1,97.2,93,93.8,95.1,84.8
Andaman & Nicobar Islands,100,100,100,100,0,100,100,100,0
Andhra Pradesh,99.2,98.9,100,100,100,98.9,98.8,100,99.3
Arunachal Pradesh,69.2,63.2,100,100,100,62.7,100,97.6,93.6
Assam,86.2,94,100,100,88.9,94,54.9,92.3,29.2
Bihar,93.4,92.9,95.9,94.9,100,92.9,89.4,96.6,95.3
Chandigarh,100,100,100,100,100,100,100,100,100
Chhattisgarh,95,94.4,100,100,83.3,94.4,98.4,98.9,95.5
"Dadra & Nagar Haveli andDaman & Diu",100,100,100,100,0,100,100,100,0
Delhi,100,99.9,100,100,0,99.9,100,100,0
Goa,100,100,100,100,0,100,100,100,0
Gujarat,98,97.1,100,100,100,97.1,99.2,99.9,100
Haryana,97.8,96.5,100,100,100,96.5,100,99.7,99.6
Himachal Pradesh,97.9,97.6,100,100,100,97.6,0,99.4,100
Jammu & Kashmir,82.6,79.5,97.2,95,0,79.5,100,93.5,74.4
Jharkhand,96.7,96.7,100,100,90.9,96.7,86.3,99.5,97.8
Karnataka,98.8,98.3,100,100,91.7,98.3,99.7,99.6,100
Kerala,99.6,99.2,100,100,100,99.2,99.8,99.9,99.8
Ladakh,91.1,90.1,100,100,100,90,100,98.2,0
Lakshadweep,100,100,100,100,0,100,0,0,0
Madhya Pradesh,90,88.7,97.3,94.4,100,88.7,93.8,94,91.2
Maharashtra,94.6,91.6,100,100,100,91.6,99.4,98.9,98.7
Manipur,74.8,71.2,100,100,100,70.8,55.2,96.2,82.3
Meghalaya,69.7,71.8,100,100,0,71.7,70.3,63.4,60.3
Mizoram,85.2,80.9,100,100,100,80.9,90,94.2,93
Nagaland,76.4,69.1,100,100,100,68.8,0,95.3,100
Odisha,95.8,96.4,100,100,91.7,96.4,89.4,96.8,94.9
Puducherry,99.4,99.3,100,100,0,99.2,100,99.6,0
Punjab,97.7,97.4,98.1,100,100,97.4,98.6,98.4,83.3
Rajasthan,86,86.4,100,100,100,86.4,0,86.2,72.4
Sikkim,98.1,98.9,100,100,0,99,80,97.3,0
Tamil Nadu,96.3,94.7,100,0,100,94.7,98.6,99.8,99.6
Telangana,89.3,85.1,100,100,100,85,89.8,99.8,93.8
Tripura,74.6,74,90,100,0,74,97.6,93.2,53.7
Uttar Pradesh,93.3,93.5,99.2,100,95,93.4,92.8,93.6,89.1
Uttarakhand,84.9,83.5,100,100,100,83.4,88.8,89.1,82.5
West Bengal,99.9,100,100,100,100,100,100,99.2,99
