India/State/ UT,Total Schools,Schools with functional Laptop/Notebook availability,"Percentage of Schools with functional Laptop/Notebookavailability",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,234355,82127,20800,123507,7921,16,8.1,25.5,38.2,17.5
Andaman & Nicobar Islands,414,342,2,70,0,39,11,0,28,0,9.4,3.2,0,40,0
Andhra Pradesh,61680,45167,1202,15127,184,14070,5749,199,8076,46,22.8,12.7,16.6,53.4,25
Arunachal Pradesh,3543,2922,71,503,47,481,149,43,267,22,13.6,5.1,60.6,53.1,46.8
Assam,58876,44925,3386,5677,4888,2917,1279,75,1529,34,5,2.8,2.2,26.9,0.7
Bihar,91447,75550,724,8053,7120,5673,361,25,3514,1773,6.2,0.5,3.5,43.6,24.9
Chandigarh,230,119,7,77,27,107,26,4,59,18,46.5,21.8,57.1,76.6,66.7
Chhattisgarh,56333,48728,415,6931,259,5709,3553,49,2099,8,10.1,7.3,11.8,30.3,3.1
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,101,49,6,45,1,22,12.7,75,71.4,100
Delhi,5488,2673,245,2570,0,2026,239,45,1742,0,36.9,8.9,18.4,67.8,0
Goa,1504,806,558,140,0,487,44,351,92,0,32.4,5.5,62.9,65.7,0
Gujarat,53603,34651,5562,13387,3,17179,10400,945,5834,0,32,30,17,43.6,0
Haryana,23561,14443,6,8315,797,6064,287,1,5360,416,25.7,2,16.7,64.5,52.2
Himachal Pradesh,18062,15447,0,2613,2,1313,145,0,1168,0,7.3,0.9,0,44.7,0
Jammu & Kashmir,24278,18785,1,5407,85,3971,1555,0,2386,30,16.4,8.3,0,44.1,35.3
Jharkhand,44596,35764,1149,1583,6100,3962,647,138,880,2297,8.9,1.8,12,55.6,37.7
Karnataka,76090,49520,7029,19531,10,15787,6203,1317,8265,2,20.7,12.5,18.7,42.3,20
Kerala,15934,4811,7178,3095,850,14603,4708,7034,2333,528,91.6,97.9,98,75.4,62.1
Ladakh,979,841,27,111,0,189,141,3,45,0,19.3,16.8,11.1,40.5,0
Lakshadweep,37,37,0,0,0,25,25,0,0,0,67.6,67.6,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,15431,3042,76,12174,139,12.6,3.3,12.4,43.4,9.1
Maharashtra,108451,65431,23964,18723,333,23094,5745,6978,10209,162,21.3,8.8,29.1,54.5,48.6
Manipur,4627,2922,583,996,126,688,68,7,571,42,14.9,2.3,1.2,57.3,33.3
Meghalaya,14588,7778,4173,2121,516,447,66,148,188,45,3.1,0.8,3.5,8.9,8.7
Mizoram,3891,2567,230,1023,71,358,114,26,200,18,9.2,4.4,11.3,19.6,25.4
Nagaland,2717,1954,0,762,1,475,84,0,391,0,17.5,4.3,0,51.3,0
Odisha,61891,48767,5920,6062,1142,3563,880,514,1872,297,5.8,1.8,8.7,30.9,26
Puducherry,729,422,33,274,0,223,60,15,148,0,30.6,14.2,45.5,54,0
Punjab,27592,19245,447,7886,14,6030,1744,52,4231,3,21.9,9.1,11.6,53.7,21.4
Rajasthan,106670,69538,0,34497,2635,23096,10261,0,12800,35,21.7,14.8,0,37.1,1.3
Sikkim,1250,864,18,368,0,768,595,3,170,0,61.4,68.9,16.7,46.2,0
Tamil Nadu,58150,37658,8279,11969,244,24807,16950,1641,6102,114,42.7,45,19.8,51,46.7
Telangana,42476,29997,670,11707,102,4921,610,47,4260,4,11.6,2,7,36.4,3.9
Tripura,4912,4245,43,367,257,878,722,11,133,12,17.9,17,25.6,36.2,4.7
Uttar Pradesh,251094,137003,8249,92348,13494,27135,2084,937,22743,1371,10.8,1.5,11.4,24.6,10.2
Uttarakhand,22618,16381,613,5140,484,2681,515,89,2007,70,11.9,3.1,14.5,39,14.5
West Bengal,94402,82579,79,7887,3857,5057,3016,21,1586,434,5.4,3.7,26.6,20.1,11.3
