India/State/ UT,Total Schools,"Schools having PCs with functional Integrated TeachingLearning Devices","Percentage of Schools having PCs with functionalIntegrated Teaching Learning Devices",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,112021,42013,11564,56382,2062,7.6,4.1,14.2,17.4,4.6
Andaman & Nicobar Islands,414,342,2,70,0,57,35,0,22,0,13.8,10.2,0,31.4,0
Andhra Pradesh,61680,45167,1202,15127,184,7476,2205,107,5139,25,12.1,4.9,8.9,34,13.6
Arunachal Pradesh,3543,2922,71,503,47,265,141,8,111,5,7.5,4.8,11.3,22.1,10.6
Assam,58876,44925,3386,5677,4888,1310,807,9,486,8,2.2,1.8,0.3,8.6,0.2
Bihar,91447,75550,724,8053,7120,2340,607,9,1236,488,2.6,0.8,1.2,15.3,6.9
Chandigarh,230,119,7,77,27,92,40,3,41,8,40,33.6,42.9,53.2,29.6
Chhattisgarh,56333,48728,415,6931,259,1730,892,14,822,2,3.1,1.8,3.4,11.9,0.8
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,53,18,4,31,0,11.5,4.7,50,49.2,0
Delhi,5488,2673,245,2570,0,1960,768,56,1136,0,35.7,28.7,22.9,44.2,0
Goa,1504,806,558,140,0,192,33,124,35,0,12.8,4.1,22.2,25,0
Gujarat,53603,34651,5562,13387,3,13078,5452,2076,5550,0,24.4,15.7,37.3,41.5,0
Haryana,23561,14443,6,8315,797,3020,807,2,2107,104,12.8,5.6,33.3,25.3,13
Himachal Pradesh,18062,15447,0,2613,2,1422,842,0,580,0,7.9,5.5,0,22.2,0
Jammu & Kashmir,24278,18785,1,5407,85,1260,517,0,739,4,5.2,2.8,0,13.7,4.7
Jharkhand,44596,35764,1149,1583,6100,1605,789,28,369,419,3.6,2.2,2.4,23.3,6.9
Karnataka,76090,49520,7029,19531,10,7128,1699,637,4792,0,9.4,3.4,9.1,24.5,0
Kerala,15934,4811,7178,3095,850,2398,495,635,1130,138,15,10.3,8.8,36.5,16.2
Ladakh,979,841,27,111,0,78,54,1,23,0,8,6.4,3.7,20.7,0
Lakshadweep,37,37,0,0,0,14,14,0,0,0,37.8,37.8,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,4434,517,34,3832,51,3.6,0.6,5.5,13.7,3.3
Maharashtra,108451,65431,23964,18723,333,16326,4139,5983,6127,77,15.1,6.3,25,32.7,23.1
Manipur,4627,2922,583,996,126,280,47,3,225,5,6.1,1.6,0.5,22.6,4
Meghalaya,14588,7778,4173,2121,516,293,65,129,79,20,2,0.8,3.1,3.7,3.9
Mizoram,3891,2567,230,1023,71,101,50,13,35,3,2.6,1.9,5.7,3.4,4.2
Nagaland,2717,1954,0,762,1,187,53,0,134,0,6.9,2.7,0,17.6,0
Odisha,61891,48767,5920,6062,1142,3408,1610,538,1102,158,5.5,3.3,9.1,18.2,13.8
Puducherry,729,422,33,274,0,218,79,10,129,0,29.9,18.7,30.3,47.1,0
Punjab,27592,19245,447,7886,14,7094,4753,54,2285,2,25.7,24.7,12.1,29,14.3
Rajasthan,106670,69538,0,34497,2635,6631,2336,0,4258,37,6.2,3.4,0,12.3,1.4
Sikkim,1250,864,18,368,0,243,171,2,70,0,19.4,19.8,11.1,19,0
Tamil Nadu,58150,37658,8279,11969,244,9483,4441,788,4198,56,16.3,11.8,9.5,35.1,23
Telangana,42476,29997,670,11707,102,5929,3557,46,2324,2,14,11.9,6.9,19.9,2
Tripura,4912,4245,43,367,257,181,102,4,70,5,3.7,2.4,9.3,19.1,1.9
Uttar Pradesh,251094,137003,8249,92348,13494,6207,500,207,5426,74,2.5,0.4,2.5,5.9,0.5
Uttarakhand,22618,16381,613,5140,484,1296,418,29,844,5,5.7,2.6,4.7,16.4,1
West Bengal,94402,82579,79,7887,3857,4232,2960,11,895,366,4.5,3.6,13.9,11.3,9.5
