India/State/ UT,Total Schools,"Schools having functional Mobile phones used forteaching purposes","Percentage of Schools having functional Mobile phonesused for teaching purposes",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1466109,1016010,81486,323430,45183,303909,180798,28401,88995,5715,20.7,17.8,34.9,27.5,12.6
Andaman & Nicobar Islands,414,342,2,70,0,50,25,1,24,0,12.1,7.3,50,34.3,0
Andhra Pradesh,61680,45167,1202,15127,184,21136,14922,438,5725,51,34.3,33,36.4,37.8,27.7
Arunachal Pradesh,3543,2922,71,503,47,191,41,17,125,8,5.4,1.4,23.9,24.9,17
Assam,58876,44925,3386,5677,4888,5375,4460,120,719,76,9.1,9.9,3.5,12.7,1.6
Bihar,91447,75550,724,8053,7120,3912,603,15,2186,1108,4.3,0.8,2.1,27.1,15.6
Chandigarh,230,119,7,77,27,35,5,2,20,8,15.2,4.2,28.6,26,29.6
Chhattisgarh,56333,48728,415,6931,259,5267,3433,42,1776,16,9.3,7,10.1,25.6,6.2
"Dadra & Nagar Haveli andDaman & Diu",459,387,8,63,1,142,117,2,23,0,30.9,30.2,25,36.5,0
Delhi,5488,2673,245,2570,0,1865,613,79,1173,0,34,22.9,32.2,45.6,0
Goa,1504,806,558,140,0,522,332,142,48,0,34.7,41.2,25.4,34.3,0
Gujarat,53603,34651,5562,13387,3,21745,15747,1581,4417,0,40.6,45.4,28.4,33,0
Haryana,23561,14443,6,8315,797,5662,1989,1,3336,336,24,13.8,16.7,40.1,42.2
Himachal Pradesh,18062,15447,0,2613,2,1929,1448,0,481,0,10.7,9.4,0,18.4,0
Jammu & Kashmir,24278,18785,1,5407,85,2421,1122,0,1283,16,10,6,0,23.7,18.8
Jharkhand,44596,35764,1149,1583,6100,4043,2339,94,387,1223,9.1,6.5,8.2,24.4,20
Karnataka,76090,49520,7029,19531,10,11735,6189,1438,4107,1,15.4,12.5,20.5,21,10
Kerala,15934,4811,7178,3095,850,4556,1075,2302,917,262,28.6,22.3,32.1,29.6,30.8
Ladakh,979,841,27,111,0,40,28,1,11,0,4.1,3.3,3.7,9.9,0
Lakshadweep,37,37,0,0,0,2,2,0,0,0,5.4,5.4,0,0,0
Madhya Pradesh,122937,92741,615,28047,1534,22149,10543,109,11140,357,18,11.4,17.7,39.7,23.3
Maharashtra,108451,65431,23964,18723,333,48266,29578,11519,7065,104,44.5,45.2,48.1,37.7,31.2
Manipur,4627,2922,583,996,126,290,51,6,221,12,6.3,1.7,1,22.2,9.5
Meghalaya,14588,7778,4173,2121,516,335,123,109,82,21,2.3,1.6,2.6,3.9,4.1
Mizoram,3891,2567,230,1023,71,52,28,1,20,3,1.3,1.1,0.4,2,4.2
Nagaland,2717,1954,0,762,1,293,117,0,175,1,10.8,6,0,23,100
Odisha,61891,48767,5920,6062,1142,12947,9333,1271,1955,388,20.9,19.1,21.5,32.3,34
Puducherry,729,422,33,274,0,210,110,8,92,0,28.8,26.1,24.2,33.6,0
Punjab,27592,19245,447,7886,14,8709,5885,81,2742,1,31.6,30.6,18.1,34.8,7.1
Rajasthan,106670,69538,0,34497,2635,13547,5832,0,7610,105,12.7,8.4,0,22.1,4
Sikkim,1250,864,18,368,0,221,134,0,87,0,17.7,15.5,0,23.6,0
Tamil Nadu,58150,37658,8279,11969,244,55361,35483,7959,11683,236,95.2,94.2,96.1,97.6,96.7
Telangana,42476,29997,670,11707,102,6890,4399,81,2408,2,16.2,14.7,12.1,20.6,2
Tripura,4912,4245,43,367,257,473,374,7,78,14,9.6,8.8,16.3,21.3,5.4
Uttar Pradesh,251094,137003,8249,92348,13494,37953,20703,886,15195,1169,15.1,15.1,10.7,16.5,8.7
Uttarakhand,22618,16381,613,5140,484,4161,2739,87,1278,57,18.4,16.7,14.2,24.9,11.8
West Bengal,94402,82579,79,7887,3857,1424,876,2,406,140,1.5,1.1,2.5,5.1,3.6
