India/State/ UT,Projected population by age group – Scheduled Castes (SC),,,,,,,,
"",Age 3-5,Age 6-10,Age 11-13,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,7622174,6974879,14597053,10753933,9768090,20522023,6362704,5862185,12224889
Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-
Andhra Pradesh,233923,219714,453637,341459,322583,664042,212036,208274,420310
Arunachal Pradesh,-,-,-,-,-,-,-,-,-
Assam,72114,66766,138880,103014,95029,198043,70069,66977,137046
Bihar,935921,866016,1801937,1243954,1137892,2381846,690167,630717,1320883
Chandigarh,9677,8141,17818,14425,11810,26236,8863,7255,16117
Chhattisgarh,141058,132421,273479,193984,184792,378776,112370,108667,221037
Dadra and Nagar Haveli and Daman and Diu,496,457,953,692,625,1317,485,442,928
Delhi,102115,90312,192427,145502,125096,270598,89748,79380,169128
Goa,922,878,1800,1349,1226,2575,800,777,1577
Gujarat,143069,124355,267424,209240,178496,387735,128871,112837,241709
Haryana,207656,185836,393492,296728,258793,555522,175918,153013,328931
Himachal Pradesh,48543,45356,93899,69711,65628,135338,45069,42002,87071
Jammu and Kashmir,20712,19072,39784,33489,29738,63227,29308,25432,54740
Jharkhand,186547,176500,363047,255463,238032,493495,149687,140514,290201
Karnataka,337897,315080,652977,490241,457117,947358,299831,282915,582746
Kerala,72981,69614,142595,103829,99689,203518,68508,65388,133896
Ladakh,6,1,7,10,5,15,7,5,12
Lakshadweep,-,-,-,-,-,-,-,-,-
Madhya Pradesh,515577,473153,988730,720207,656820,1377028,414983,385699,800683
Maharashtra,388821,352752,741573,567954,512925,1080879,365466,332426,697892
Manipur,2610,2374,4984,4094,3801,7894,2874,2671,5545
Meghalaya,487,494,981,727,639,1366,519,494,1014
Mizoram,18,27,45,43,38,81,29,21,50
Nagaland,-,-,-,-,-,-,-,-,-
Odisha,233722,222143,455865,320767,304371,625137,205659,196212,401871
Puducherry,7760,7208,14968,12115,11043,23158,7711,7133,14844
Punjab,271116,251382,522498,395925,365506,761430,246668,225662,472330
Rajasthan,554870,490665,1045535,784133,689987,1474120,456278,408547,864824
Sikkim,724,708,1432,1132,1058,2190,857,782,1639
Tamil Nadu,380876,355400,736276,577581,535003,1112584,361753,343350,705103
Telangana,147841,137209,285050,218657,202422,421079,141016,135862,276878
Tripura,16449,15305,31754,21480,19856,41336,15850,14917,30768
Uttar Pradesh,2007243,1797052,3804295,2770167,2448285,5218452,1508362,1348884,2857246
Uttarakhand,71286,63313,134599,100014,87334,187348,63013,55499,118512
West Bengal,509137,485175,994312,755847,722450,1478297,489929,479430,969359
