India/State/UT,Enrolments (Pre-Primary to Higher Secondary),,,,
"",General,SC,ST,OBC,Muslim
India,26.9,18.0,9.9,45.2,15.8
Andaman & Nicobar Islands,62.2,0.6,9.6,27.6,10.2
Andhra Pradesh,21.4,19.7,7.0,51.9,8.9
Arunachal Pradesh,21.2,2.0,72.7,4.1,1.9
Assam,51.1,7.2,15.0,26.6,41.2
Bihar,14.8,18.9,1.9,64.4,18.8
Chandigarh,87.0,8.7,0.3,4.0,5.6
Chhattisgarh,9.1,14.4,29.8,46.6,1.9
Dadra & Nagar Haveli and Daman & Diu,48.5,2.5,36.8,12.3,5.3
Delhi,83.8,9.6,0.5,6.1,14.0
Goa,78.0,1.9,8.6,11.4,12.7
Gujarat,30.3,6.5,16.9,46.3,10.7
Haryana,50.4,20.9,0.0,28.7,8.8
Himachal Pradesh,54.7,25.7,5.9,13.8,2.6
Jammu & Kashmir,70.2,8.2,14.0,7.6,69.0
Jharkhand,13.0,12.7,27.4,46.9,14.7
Karnataka,10.4,18.4,7.6,63.7,16.2
Kerala,20.4,8.6,1.5,69.5,38.9
Ladakh,6.8,0.4,92.6,0.3,58.1
Lakshadweep,0.7,0.5,97.3,1.5,99.6
Madhya Pradesh,15.3,17.2,22.1,45.4,6.3
Maharashtra,43.2,12.5,11.2,33.2,13.8
Manipur,23.4,4.9,40.0,31.7,9.3
Meghalaya,6.1,1.9,90.8,1.1,3.8
Mizoram,1.0,1.2,97.6,0.2,0.6
Nagaland,10.0,2.1,83.8,4.0,6.4
Odisha,17.2,18.5,27.1,37.1,2.4
Puducherry,8.2,18.0,0.4,73.5,8.6
Punjab,47.8,36.6,0.1,15.5,2.8
Rajasthan,16.8,19.6,14.6,49.0,6.6
Sikkim,21.0,8.6,35.5,34.9,2.6
Tamil Nadu,3.8,22.2,1.4,72.6,7.2
Telangana,24.3,16.0,10.0,49.7,15.5
Tripura,26.2,18.7,36.3,18.7,10.2
Uttar Pradesh,19.5,22.9,1.0,56.6,17.2
Uttarakhand,48.7,20.3,2.3,28.7,15.5
West Bengal,56.4,25.0,6.4,12.2,36.5
