"India/State /UT",Number of Schools – Government Aided,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,80313,16882,12040,7724,7498,8483,7898,5884,7230,4077,2597
Andaman & Nicobar Islands,2,0,0,0,0,0,0,2,0,0,0
Andhra Pradesh,991,529,126,0,7,282,0,0,1,0,46
Arunachal Pradesh,72,11,25,0,26,0,0,10,0,0,0
Assam,2267,1,3,1540,6,80,523,4,6,6,98
Bihar,723,37,341,27,66,95,81,6,24,37,9
Chandigarh,7,0,0,0,0,0,0,6,1,0,0
Chhattisgarh,414,203,38,67,8,1,1,24,40,32,0
"Dadra & Nagar Haveli andDaman & Diu",8,0,0,0,5,0,0,0,3,0,0
Delhi,239,40,11,11,12,14,0,87,64,0,0
Goa,557,108,25,6,180,143,2,1,0,0,92
Gujarat,5535,64,165,292,1,9,1755,10,73,3133,33
Haryana,5,1,0,0,0,0,0,3,1,0,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,1,0,0,0,1,0,0,0,0,0,0
Jharkhand,1146,473,480,15,14,120,7,16,10,2,9
Karnataka,7013,182,2441,42,92,53,3366,11,9,201,616
Kerala,7162,3357,1798,568,94,290,104,113,564,268,6
Ladakh,40,34,5,0,1,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,581,193,94,30,11,3,19,68,78,85,0
Maharashtra,24173,3168,4235,0,6612,3978,24,4475,843,19,819
Manipur,584,399,67,26,35,39,16,1,0,0,1
Meghalaya,4168,2497,17,921,6,132,463,6,24,45,57
Mizoram,230,0,0,73,0,0,135,0,0,0,22
Nagaland,0,0,0,0,0,0,0,0,0,0,0
Odisha,5907,304,74,1417,33,1961,1359,1,0,0,758
Puducherry,33,2,1,0,18,0,0,12,0,0,0
Punjab,444,48,33,3,46,24,1,193,96,0,0
Rajasthan,0,0,0,0,0,0,0,0,0,0,0
Sikkim,16,5,2,0,0,2,0,3,4,0,0
Tamil Nadu,8314,4797,1638,28,78,534,3,87,1142,7,0
Telangana,662,269,119,0,50,196,0,0,0,0,28
Tripura,42,7,2,0,4,0,0,21,8,0,0
Uttar Pradesh,8291,113,290,2470,89,470,25,672,3949,212,1
Uttarakhand,614,9,9,188,1,50,14,40,271,30,2
West Bengal,72,31,1,0,2,7,0,12,19,0,0
