India/State /UT,Number of teachers by Gender and Classes Taught – Government Aided,,,,,,,,
"",Secondary Only,Secondary & Higher Secondary,Higher Secondary Only,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(23),(24),(25),(26),(27),(28),(29),(30),(31)
India,151286,92284,243570,14263,6303,20566,75884,54808,130692
Andaman & Nicobar Islands,3,2,5,3,0,3,5,17,22
Andhra Pradesh,312,428,740,0,0,0,283,239,522
Arunachal Pradesh,73,21,94,45,11,56,24,6,30
Assam,3104,1495,4599,33,22,55,723,478,1201
Bihar,751,279,1030,104,48,152,140,55,195
Chandigarh,2,14,16,10,30,40,16,66,82
Chhattisgarh,131,100,231,175,181,356,146,109,255
"Dadra & Nagar Haveli andDaman & Diu",20,25,45,1,1,2,30,26,56
Delhi,295,740,1035,36,133,169,459,807,1266
Goa,369,1225,1594,0,0,0,554,1381,1935
Gujarat,16640,8276,24916,1728,869,2597,9220,6125,15345
Haryana,3,4,7,3,23,26,2,4,6
Himachal Pradesh,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,0,0,0,0,0,0,0,0,0
Jharkhand,281,303,584,30,14,44,106,61,167
Karnataka,15508,6487,21995,131,39,170,3624,2018,5642
Kerala,8302,21488,29790,87,152,239,5339,11540,16879
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0
Madhya Pradesh,258,230,488,499,540,1039,261,269,530
Maharashtra,54272,22307,76579,1436,700,2136,29039,16978,46017
Manipur,101,99,200,6,1,7,52,41,93
Meghalaya,2259,2063,4322,93,132,225,373,582,955
Mizoram,644,325,969,0,0,0,197,167,364
Nagaland,0,0,0,0,0,0,0,0,0
Odisha,13948,2663,16611,0,0,0,5740,2936,8676
Puducherry,13,67,80,15,21,36,24,71,95
Punjab,416,845,1261,104,295,399,355,750,1105
Rajasthan,0,0,0,0,0,0,0,0,0
Sikkim,15,19,34,1,3,4,13,7,20
Tamil Nadu,8083,14752,22835,1,31,32,2972,5401,8373
Telangana,145,403,548,0,0,0,88,156,244
Tripura,192,87,279,67,29,96,235,155,390
Uttar Pradesh,24306,6995,31301,9054,2466,11520,15096,3801,18897
Uttarakhand,773,463,1236,513,407,920,726,499,1225
West Bengal,67,79,146,88,155,243,42,63,105
