India/State/ UT,Enrolment – Others,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,178222,202290,380512,61548,97852,159400,2448623,2173856,4622479,2646731,2324118,4970849
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,173,192,365,0,0,0,5834,6339,12173,6219,6686,12905
Arunachal Pradesh,0,0,0,0,0,0,1918,1524,3442,2335,1850,4185
Assam,14909,18283,33192,3753,4282,8035,77087,76801,153888,80180,79534,159714
Bihar,10188,14460,24648,4430,6321,10751,582036,453094,1035130,616666,475222,1091888
Chandigarh,27,30,57,8,6,14,2445,1675,4120,4646,3331,7977
Chhattisgarh,0,0,0,0,0,0,4703,3487,8190,4703,3487,8190
"Dadra and Nagar Haveli andDaman and Diu",11,0,11,11,0,11,146,0,146,146,0,146
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,148,123,271,7,52,59,470,556,1026,482,568,1050
Haryana,351,280,631,144,72,216,41276,30511,71787,48203,36175,84378
Himachal Pradesh,0,0,0,0,0,0,18,13,31,18,13,31
Jammu and Kashmir,114,188,302,0,46,46,2251,1934,4185,2720,2338,5058
Jharkhand,14391,11874,26265,472,508,980,402343,284771,687114,491312,348390,839702
Karnataka,25,24,49,0,0,0,355,193,548,368,208,576
Kerala,710,724,1434,144,262,406,35562,32126,67688,51663,46365,98028
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,43,60,103,1,16,17,29447,27005,56452,29634,27248,56882
Maharashtra,1298,829,2127,58,53,111,21595,17501,39096,22741,18440,41181
Manipur,0,0,0,0,0,0,4424,4078,8502,5547,4958,10505
Meghalaya,2158,3235,5393,727,1307,2034,13802,15659,29461,17924,19582,37506
Mizoram,469,483,952,176,147,323,3017,2843,5860,3418,3279,6697
Nagaland,0,0,0,0,0,0,39,20,59,58,46,104
Odisha,3695,2771,6466,2174,1834,4008,49673,36430,86103,53558,39417,92975
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,0,0,0,0,0,0,318,215,533,441,352,793
Rajasthan,1013,1364,2377,337,492,829,72540,68197,140737,73661,69334,142995
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,236,182,418,50,32,82,10151,8389,18540,15398,12875,28273
Telangana,17,21,38,0,0,0,1641,1844,3485,1700,1906,3606
Tripura,240,44,284,106,54,160,6882,4701,11583,7976,5618,13594
Uttar Pradesh,34894,36235,71129,10781,9817,20598,673128,648863,1321991,678710,653515,1332225
Uttarakhand,631,658,1289,385,236,621,32808,28968,61776,33071,29208,62279
West Bengal,92481,110230,202711,37784,72315,110099,372714,416119,788833,393233,434173,827406
