India/State/ UT,Enrolment – Others,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,198108,150262,348370,1618787,1330510,2949297,590066,543204,1133270,2208853,1873714,4082567
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,385,347,732,3890,3809,7699,1771,2338,4109,5661,6147,11808
Arunachal Pradesh,417,326,743,1600,1285,2885,318,239,557,1918,1524,3442
Assam,3093,2733,5826,51428,46873,98301,6997,7363,14360,58425,54236,112661
Bihar,34630,22128,56758,420259,304903,725162,147159,127410,274569,567418,432313,999731
Chandigarh,2201,1656,3857,2061,1438,3499,349,201,550,2410,1639,4049
Chhattisgarh,0,0,0,3500,2571,6071,1203,916,2119,4703,3487,8190
"Dadra and Nagar Haveli andDaman and Diu",0,0,0,105,0,105,19,0,19,124,0,124
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,12,12,24,173,220,393,142,161,303,315,381,696
Haryana,6927,5664,12591,30646,23105,53751,10135,7054,17189,40781,30159,70940
Himachal Pradesh,0,0,0,18,13,31,0,0,0,18,13,31
Jammu and Kashmir,469,404,873,1587,1263,2850,550,437,987,2137,1700,3837
Jharkhand,88969,63619,152588,264876,184900,449776,122604,87489,210093,387480,272389,659869
Karnataka,13,15,28,229,141,370,101,28,129,330,169,499
Kerala,16101,14239,30340,28893,25950,54843,5815,5190,11005,34708,31140,65848
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,187,243,430,19936,18346,38282,9467,8583,18050,29403,26929,56332
Maharashtra,1146,939,2085,16222,13698,29920,4017,2921,6938,20239,16619,36858
Manipur,1123,880,2003,3884,3520,7404,540,558,1098,4424,4078,8502
Meghalaya,4122,3923,8045,9047,8748,17795,1870,2369,4239,10917,11117,22034
Mizoram,401,436,837,1731,1589,3320,641,624,1265,2372,2213,4585
Nagaland,19,26,45,39,20,59,0,0,0,39,20,59
Odisha,3885,2987,6872,33560,24872,58432,10244,6953,17197,43804,31825,75629
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,123,137,260,293,171,464,25,44,69,318,215,533
Rajasthan,1121,1137,2258,60847,55923,116770,10343,10418,20761,71190,66341,137531
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,5247,4486,9733,8591,7235,15826,1274,940,2214,9865,8175,18040
Telangana,59,62,121,1069,1121,2190,555,702,1257,1624,1823,3447
Tripura,1094,917,2011,5822,4361,10183,714,242,956,6536,4603,11139
Uttar Pradesh,5582,4652,10234,506138,466540,972678,121315,136271,257586,627453,602811,1230264
Uttarakhand,263,240,503,24204,20805,45009,7588,7269,14857,31792,28074,59866
West Bengal,20519,18054,38573,118139,107090,225229,124310,126484,250794,242449,233574,476023
