India/State/ UT,Enrolment – All Types of Management,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,19090344,17773447,36863791,13671435,13464079,27135514,121714947,113248084,234963031,128744591,119301237,248045828
Andaman and Nicobar Islands,5802,5677,11479,5065,5346,10411,31926,30901,62827,36635,35484,72119
Andhra Pradesh,752076,693690,1445766,502215,514005,1016220,4209776,3935852,8145628,4531461,4210424,8741885
Arunachal Pradesh,21146,22221,43367,13675,15005,28680,145796,147748,293544,161488,162229,323717
Assam,450680,538873,989553,238817,258875,497692,3197346,3320319,6517665,3407308,3515225,6922533
Bihar,1214455,1284075,2498530,809350,835621,1644971,10717472,10302553,21020025,10918597,10429552,21348149
Chandigarh,21461,19079,40540,22515,19545,42060,122774,108657,231431,140482,125224,265706
Chhattisgarh,400626,422726,823352,248911,309982,558893,2658500,2670036,5328536,2894205,2882343,5776548
"Dadra and Nagar Haveli andDaman and Diu",11432,10514,21946,5708,6141,11849,67673,61782,129455,73921,67361,141282
Delhi,380488,339792,720280,311143,298496,609639,2212874,1987308,4200182,2370210,2136368,4506578
Goa,23613,22274,45887,19131,19846,38977,141104,133273,274377,156643,148092,304735
Gujarat,942320,773819,1716139,520245,505413,1025658,5641990,4946895,10588885,6121760,5374949,11496709
Haryana,493349,400736,894085,349704,313205,662909,2884212,2415751,5299963,3047542,2552200,5599742
Himachal Pradesh,116133,106542,222675,95993,91437,187430,659559,606417,1265976,744694,681718,1426412
Jammu and Kashmir,182305,162820,345125,125503,115202,240705,1153638,1056349,2209987,1373223,1256726,2629949
Jharkhand,473413,488543,961956,320697,332601,653298,3502859,3361317,6864176,3660138,3483117,7143255
Karnataka,1057930,1006353,2064283,567185,645211,1212396,5959129,5685814,11644943,6110046,5816257,11926303
Kerala,506692,486212,992904,444961,446525,891486,2870443,2774424,5644867,3196874,3084830,6281704
Ladakh,3715,4230,7945,1976,2270,4246,22706,23249,45955,28267,28375,56642
Lakshadweep,836,833,1669,854,800,1654,5697,5594,11291,6357,6234,12591
Madhya Pradesh,1114367,1018385,2132752,700608,679549,1380157,7349640,6792997,14142637,8022201,7339342,15361543
Maharashtra,1926689,1686283,3612972,1461498,1323149,2784647,11057939,9996899,21054838,11226536,10149434,21375970
Manipur,42676,42451,85127,32099,31638,63737,296396,284806,581202,331159,316275,647434
Meghalaya,47916,61485,109401,22582,31576,54158,425437,453182,878619,515450,537434,1052884
Mizoram,19342,20576,39918,11472,12807,24279,129997,128520,258517,147822,145941,293763
Nagaland,25684,27490,53174,17755,20336,38091,170388,170295,340683,208009,204966,412975
Odisha,633955,610105,1244060,450134,459009,909143,3937718,3746003,7683721,3978729,3778181,7756910
Puducherry,20132,19059,39191,16844,18083,34927,110338,105946,216284,125026,119802,244828
Punjab,440483,383620,824103,390948,341730,732678,2721707,2359723,5081430,3207398,2781283,5988681
Rajasthan,1294502,1136453,2430955,998982,878417,1877399,8345119,7444488,15789607,8903667,7882398,16786065
Sikkim,8932,9105,18037,7238,8554,15792,51333,50277,101610,61688,59707,121395
Tamil Nadu,1064169,1007359,2071528,857833,929274,1787107,6044792,5785268,11830060,6657117,6335933,12993050
Telangana,568622,544703,1113325,425206,433144,858350,3496788,3297489,6794277,3767648,3525996,7293644
Tripura,49757,51070,100827,39939,41577,81516,327122,324320,651442,347145,342263,689408
Uttar Pradesh,3071738,2654951,5726689,2568829,2207647,4776476,21460170,19204849,40665019,22028721,19634073,41662794
Uttarakhand,186306,169872,356178,157887,152542,310429,1171281,1054570,2225851,1251496,1120904,2372400
West Bengal,1516602,1541471,3058073,907933,1159521,2067454,8413308,8474213,16887521,8984928,9030597,18015525
