India/State/ UT,Enrolment – All Types of Management,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,7029644,6053153,13082797,56220340,51617371,107837711,32732828,30393187,63126015,88953168,82010558,170963726
Andaman and Nicobar Islands,4709,4583,9292,12283,11663,23946,8776,8215,16991,21059,19878,40937
Andhra Pradesh,321685,274572,596257,1785635,1651428,3437063,1169850,1076729,2246579,2955485,2728157,5683642
Arunachal Pradesh,15692,14481,30173,73133,70558,143691,37842,39964,77806,110975,110522,221497
Assam,209962,194906,404868,1673006,1619769,3292775,834843,902802,1737645,2507849,2522571,5030420
Bihar,201125,126999,328124,5831301,5400064,11231365,2862366,2782793,5645159,8693667,8182857,16876524
Chandigarh,17708,16567,34275,44886,40533,85419,33912,29500,63412,78798,70033,148831
Chhattisgarh,235705,212307,448012,1268345,1214574,2482919,740618,722754,1463372,2008963,1937328,3946291
"Dadra and Nagar Haveli andDaman and Diu",6248,5579,11827,31610,28541,60151,18923,16586,35509,50533,45127,95660
Delhi,157336,149060,306396,898294,803758,1702052,622949,545262,1168211,1521243,1349020,2870263
Goa,15539,14819,30358,61063,56332,117395,37297,34821,72118,98360,91153,189513
Gujarat,479770,428054,907824,2486841,2190612,4677453,1692584,1477051,3169635,4179425,3667663,7847088
Haryana,163330,136449,299779,1224070,1028748,2252818,817089,673062,1490151,2041159,1701810,3742969
Himachal Pradesh,85135,75301,160436,272794,249843,522637,174639,158595,333234,447433,408438,855871
Jammu and Kashmir,219585,200377,419962,549508,508287,1057795,296322,270040,566362,845830,778327,1624157
Jharkhand,157279,121800,279079,1745589,1613557,3359146,963160,926616,1889776,2708749,2540173,5248922
Karnataka,150917,130443,281360,2695188,2512173,5207361,1638826,1522077,3160903,4334014,4034250,8368264
Kerala,326431,310406,636837,1159808,1111939,2271747,758982,729748,1488730,1918790,1841687,3760477
Ladakh,5561,5126,10687,11354,10826,22180,5661,5923,11584,17015,16749,33764
Lakshadweep,660,640,1300,2685,2505,5190,1322,1456,2778,4007,3961,7968
Madhya Pradesh,672561,546345,1218906,3465737,3184678,6650415,2068928,1910385,3979313,5534665,5095063,10629728
Maharashtra,168597,152535,321132,4741295,4385773,9127068,2928457,2601694,5530151,7669752,6987467,14657219
Manipur,34763,31469,66232,150569,141429,291998,71052,69288,140340,221621,210717,432338
Meghalaya,90013,84252,174265,253464,244695,498159,101475,115426,216901,354939,360121,715060
Mizoram,17825,17421,35246,66187,62783,128970,32996,32354,65350,99183,95137,194320
Nagaland,37621,34671,72292,82961,78368,161329,43988,44101,88089,126949,122469,249418
Odisha,41011,32178,73189,1749098,1641941,3391039,1104531,1034948,2139479,2853629,2676889,5530518
Puducherry,14688,13856,28544,43561,40993,84554,29801,27811,57612,73362,68804,142166
Punjab,485691,421560,907251,1183184,1029260,2212444,707092,605113,1312205,1890276,1634373,3524649
Rajasthan,558548,437910,996458,3861177,3470764,7331941,2190458,1958854,4149312,6051635,5429618,11481253
Sikkim,10355,9430,19785,21983,19903,41886,13180,12715,25895,35163,32618,67781
Tamil Nadu,612325,550665,1162990,2468452,2307357,4775809,1654338,1541278,3195616,4122790,3848635,7971425
Telangana,270860,228507,499367,1552981,1430819,2983800,949979,888823,1838802,2502960,2319642,4822602
Tripura,20023,17943,37966,150419,145261,295680,87007,86412,173419,237426,231673,469099
Uttar Pradesh,568551,429224,997775,10324200,9256660,19580860,5495403,5085591,10580994,15819603,14342251,30161854
Uttarakhand,80215,66334,146549,523082,462517,985599,304006,269639,573645,827088,732156,1559244
West Bengal,571620,556384,1128004,3754597,3588460,7343057,2234176,2184761,4418937,5988773,5773221,11761994
