India/State/UT,Gender Parity Index (GPI) of GER,,,,
"","Primary(1 to 5)","UpperPrimary(6-8)","Elementary(1-8)","Secondary(9-10)","HigherSecondary(11-12)"
(1),(2),(3),(4),(5),(6)
India,1.03,1.02,1.02,1.02,1.07
Andaman and Nicobar Islands,1.00,1.02,1.01,1.09,1.24
Andhra Pradesh,1.01,0.98,1.00,0.98,1.08
Arunachal Pradesh,1.02,1.08,1.04,1.08,1.12
Assam,1.06,1.15,1.09,1.25,1.13
Bihar,1.02,1.03,1.02,1.12,1.09
Chandigarh,1.06,1.13,1.09,1.15,1.22
Chhattisgarh,1.01,1.02,1.01,1.09,1.29
"Dadra and Nagar Haveli andDaman and Diu",1.02,1.04,1.02,1.17,1.75
Delhi,1.09,1.06,1.08,1.05,1.13
Goa,0.98,1.03,1.00,1.05,1.16
Gujarat,1.05,1.02,1.04,0.95,1.12
Haryana,1.01,1.00,1.01,0.98,1.07
Himachal Pradesh,1.02,1.02,1.02,1.04,1.08
Jammu and Kashmir,1.00,1.04,1.02,1.02,1.06
Jharkhand,1.01,1.02,1.02,1.08,1.07
Karnataka,1.02,1.00,1.01,1.01,1.21
Kerala,1.00,1.00,1.00,1.00,1.05
Ladakh,0.98,1.15,1.04,1.27,1.15
Lakshadweep,0.97,1.02,0.98,1.05,0.92
Madhya Pradesh,1.00,0.99,1.00,0.98,1.04
Maharashtra,1.07,1.01,1.05,0.99,1.02
Manipur,1.02,1.05,1.03,1.04,1.00
Meghalaya,1.02,1.18,1.07,1.32,1.45
Mizoram,1.01,1.04,1.02,1.12,1.16
Nagaland,1.04,1.11,1.06,1.17,1.20
Odisha,1.00,0.99,0.99,1.01,1.07
Puducherry,0.99,1.01,1.00,1.06,1.19
Punjab,1.00,1.01,1.01,1.04,1.06
Rajasthan,1.03,1.00,1.02,0.97,0.96
Sikkim,0.95,1.01,0.98,1.05,1.22
Tamil Nadu,1.03,1.01,1.02,1.01,1.15
Telangana,1.02,1.02,1.02,1.03,1.09
Tripura,1.04,1.06,1.04,1.09,1.14
Uttar Pradesh,1.02,1.03,1.03,0.96,0.95
Uttarakhand,1.05,1.04,1.05,1.05,1.10
West Bengal,1.02,1.02,1.02,1.06,1.33
