India/State/ UT,Percentage of Muslim minority enrolment to total enrolment,,,,,,,,,,,,,,,,,
"","Primary(1 to 5)","Upper Primary(6 to 8)","Elementary(1 to 8)",Secondary (9-10),"Higher Secondary(11-12)","Primary to HigherSecondary",,,,,,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3 ),(4 ),( 5),(6 ),(7 ),( 8),(9 ),(1 0),( 11),(1 2),(1 3),( 14),(1 5),(1 6),( 17),(1 8),(1 9)
India,17.2,17.7,17.4,14.8,16.0,15.4,16.3,17.0,16.7,13.5,15.2,14.3,10.9,13.0,11.9,15.3,16.3,15.7
Andaman and Nicobar Islands,11.1,11.3,11.2,10.0,9.8,9.9,10.6,10.7,10.6,9.3,9.1,9.2,8.4,8.8,8.6,10.0,10.1,10.0
Andhra Pradesh,9.5,9.5,9.5,8.6,8.9,8.8,9.2,9.3,9.2,8.3,8.5,8.4,7.1,7.0,7.0,8.8,8.8,8.8
Arunachal Pradesh,2.3,2.0,2.2,1.7,1.4,1.5,2.1,1.8,1.9,1.4,1.5,1.5,1.2,1.2,1.2,1.9,1.7,1.8
Assam,45.3,45.6,45.4,39.4,43.8,41.7,43.3,44.9,44.1,32.2,39.2,36.0,25.8,28.8,27.4,40.5,42.8,41.6
Bihar,19.7,21.1,20.4,17.6,19.5,18.6,19.0,20.5,19.8,14.3,17.4,15.9,13.1,15.3,14.2,18.0,19.7,18.9
Chandigarh,6.3,6.3,6.3,5.6,5.7,5.7,6.0,6.0,6.0,4.8,5.4,5.1,3.1,3.7,3.4,5.3,5.5,5.4
Chhattisgarh,2.0,1.9,1.9,1.8,1.7,1.7,1.9,1.8,1.9,1.6,1.7,1.6,1.6,1.6,1.6,1.8,1.8,1.8
"Dadra and Nagar Haveli andDaman and Diu",6.0,5.7,5.9,5.7,5.1,5.4,5.9,5.5,5.7,5.3,4.7,5.0,3.4,4.2,3.8,5.6,5.2,5.4
Delhi,14.5,15.8,15.1,13.5,15.8,14.6,14.1,15.8,14.9,12.3,14.9,13.5,9.6,12.9,11.2,13.1,15.2,14.1
Goa,13.9,13.3,13.6,12.6,12.9,12.7,13.4,13.1,13.3,12.2,12.5,12.3,9.1,10.0,9.6,12.6,12.6,12.6
Gujarat,11.2,11.8,11.5,10.6,11.2,10.9,11.0,11.5,11.2,9.6,9.8,9.7,7.2,8.0,7.6,10.4,10.9,10.6
Haryana,11.2,11.7,11.4,9.8,9.9,9.8,10.6,11.0,10.8,6.2,5.0,5.7,4.4,3.2,3.8,9.1,9.0,9.1
Himachal Pradesh,3.1,3.1,3.1,2.6,2.5,2.6,2.9,2.8,2.9,2.2,2.2,2.2,1.5,1.5,1.5,2.6,2.5,2.6
Jammu and Kashmir,69.7,71.0,70.3,64.9,67.3,66.1,68.0,69.7,68.8,63.4,65.5,64.4,64.7,66.1,65.4,66.9,68.7,67.8
Jharkhand,16.1,16.9,16.5,14.9,16.1,15.5,15.7,16.6,16.1,10.8,12.8,11.8,8.0,9.4,8.7,14.3,15.3,14.8
Karnataka,17.3,17.7,17.5,15.8,16.2,16.0,16.8,17.2,17.0,15.0,15.8,15.4,10.8,12.6,11.8,15.9,16.4,16.1
Kerala,40.9,40.9,40.9,38.7,39.0,38.9,40.1,40.2,40.1,37.9,38.0,38.0,33.0,33.7,33.4,38.6,38.8,38.7
Ladakh,58.5,58.6,58.5,58.5,57.9,58.2,58.5,58.4,58.4,59.7,58.2,58.9,63.7,64.6,64.2,59.2,58.9,59.0
Lakshadweep,99.7,99.7,99.7,99.7,99.8,99.7,99.7,99.7,99.7,99.8,99.6,99.7,99.4,99.6,99.5,99.7,99.7,99.7
Madhya Pradesh,6.6,6.7,6.6,5.8,6.2,6.0,6.3,6.5,6.4,4.4,5.1,4.7,3.4,4.5,3.9,5.7,6.1,5.9
Maharashtra,15.0,15.5,15.2,13.3,14.2,13.7,14.3,15.0,14.6,12.2,13.5,12.8,9.9,11.2,10.5,13.4,14.2,13.8
Manipur,10.1,10.3,10.2,8.1,8.6,8.4,9.5,9.7,9.6,8.4,8.2,8.3,6.9,6.4,6.7,9.0,9.1,9.1
Meghalaya,4.0,4.0,4.0,4.3,4.2,4.2,4.1,4.1,4.1,4.0,3.3,3.6,3.9,2.4,3.0,4.1,3.9,4.0
Mizoram,0.9,0.8,0.8,0.6,0.5,0.5,0.8,0.7,0.7,0.4,0.3,0.3,0.3,0.3,0.3,0.7,0.6,0.6
Nagaland,7.5,7.3,7.4,3.9,4.0,4.0,6.3,6.1,6.2,2.8,3.0,2.9,2.0,1.9,1.9,5.3,5.1,5.2
Odisha,2.6,2.6,2.6,2.2,2.3,2.3,2.5,2.5,2.5,2.2,2.3,2.2,1.7,1.9,1.8,2.3,2.4,2.3
Puducherry,9.1,8.8,9.0,8.2,8.4,8.3,8.7,8.6,8.7,8.2,8.3,8.2,8.6,8.4,8.5,8.6,8.5,8.6
Punjab,3.4,3.4,3.4,2.5,2.7,2.6,3.0,3.1,3.1,2.2,2.2,2.2,1.9,2.0,1.9,2.7,2.8,2.8
Rajasthan,7.8,8.1,7.9,6.0,6.4,6.2,7.1,7.5,7.3,4.6,5.0,4.8,3.6,3.9,3.8,6.3,6.7,6.5
Sikkim,3.3,3.2,3.3,2.3,2.1,2.2,2.9,2.8,2.9,2.4,2.0,2.2,1.3,1.4,1.3,2.6,2.4,2.5
Tamil Nadu,7.3,7.5,7.4,7.0,7.2,7.1,7.2,7.4,7.3,6.8,7.0,6.9,6.7,6.5,6.6,7.0,7.1,7.1
Telangana,16.0,16.5,16.2,14.9,15.8,15.3,15.6,16.2,15.9,14.9,16.3,15.6,10.3,12.2,11.3,14.8,15.7,15.2
Tripura,11.7,11.7,11.7,9.3,10.8,10.1,10.8,11.4,11.1,8.3,9.8,9.1,6.7,7.6,7.2,9.9,10.7,10.3
Uttar Pradesh,19.6,19.8,19.7,15.5,16.4,15.9,18.2,18.6,18.4,14.0,15.3,14.6,11.7,13.2,12.4,16.8,17.5,17.1
Uttarakhand,19.8,20.1,20.0,14.2,15.8,15.0,17.8,18.5,18.1,9.8,12.0,10.8,7.1,9.3,8.2,15.0,16.1,15.6
West Bengal,37.9,38.3,38.1,35.5,36.6,36.0,37.0,37.7,37.3,33.7,37.1,35.4,26.4,35.5,31.5,35.3,37.3,36.3
