India/State/ UT,Total Schools,Schools with CWSN friendly toilet,Schools with functional CWSN friendly toilet,,,,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,
(1),(2),(3),(4),(5),(6),,(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),
India,1471891,1017660,80313,331108,42810,,506695,337675,35640,125393,7987,473956,311617,34563,120265,7511,
Andaman & Nicobar Islands,412,340,2,70,0,,115,95,0,20,0,112,92,0,20,0,
Andhra Pradesh,61373,45000,991,15232,150,,14172,8142,170,5816,44,13719,7775,166,5739,39,
Arunachal Pradesh,3490,2847,72,529,42,,397,288,13,92,4,265,158,12,91,4,
Assam,56630,45008,2267,5725,3630,,12175,10867,145,1023,140,11565,10349,127,964,125,
Bihar,94686,78120,723,9167,6676,,14483,10773,99,2386,1225,13950,10372,98,2295,1185,
Chandigarh,230,119,7,77,27,,181,105,5,67,4,181,105,5,67,4,
Chhattisgarh,56615,48803,414,7153,245,,37273,33010,209,3939,115,31941,27835,199,3798,109,
"Dadra & Nagar Haveli andDaman & Diu",432,360,8,63,1,,396,342,4,49,1,393,339,4,49,1,
Delhi,5497,2693,239,2565,0,,5497,2693,239,2565,0,5497,2693,239,2565,0,
Goa,1487,789,557,141,0,,131,43,71,17,0,126,40,69,17,0,
Gujarat,53626,34597,5535,13490,4,,19884,16134,1148,2601,1,19475,15805,1116,2553,1,
Haryana,23517,14374,5,8415,723,,11983,9918,2,1956,107,11648,9655,2,1885,106,
Himachal Pradesh,17826,15217,0,2607,2,,4799,3848,0,950,1,4589,3676,0,912,1,
Jammu & Kashmir,24296,18785,1,5452,58,,1884,904,1,973,6,1667,760,1,900,6,
Jharkhand,44475,35795,1146,1634,5900,,3020,1926,86,382,626,2743,1740,81,360,562,
Karnataka,75869,49306,7013,19542,8,,14239,7300,1182,5757,0,13092,6467,1098,5527,0,
Kerala,15864,4809,7162,3082,811,,5614,2724,1915,843,132,5186,2473,1790,802,121,
Ladakh,995,841,40,114,0,,186,171,1,14,0,179,165,1,13,0,
Lakshadweep,37,37,0,0,0,,23,23,0,0,0,23,23,0,0,0,
Madhya Pradesh,123412,92439,581,28910,1482,,28014,13810,243,13689,272,25919,12527,232,12905,255,
Maharashtra,108237,65157,24173,18642,265,,66743,38949,15102,12527,165,62295,35380,14560,12193,162,
Manipur,4646,2934,584,1010,118,,349,104,15,221,9,318,82,14,213,9,
Meghalaya,14601,7779,4168,2152,502,,457,213,127,104,13,413,189,117,94,13,
Mizoram,3941,2587,230,1064,60,,731,669,12,44,6,550,493,10,43,4,
Nagaland,2725,1952,0,772,1,,215,143,0,72,0,178,112,0,66,0,
Odisha,61693,48671,5907,6042,1073,,46521,37958,3809,4092,662,45465,37049,3740,4034,642,
Puducherry,735,420,33,282,0,,311,211,7,93,0,290,192,7,91,0,
Punjab,27404,19242,444,7704,14,,15537,11454,207,3869,7,15164,11154,204,3800,6,
Rajasthan,107757,70233,0,34729,2795,,24150,9854,0,13883,413,21923,8894,0,12697,332,
Sikkim,1254,864,16,374,0,,328,283,0,45,0,306,261,0,45,0,
Tamil Nadu,58722,37672,8314,12481,255,,30313,9856,8278,11955,224,27505,7048,8278,11955,224,
Telangana,42901,30022,662,12126,91,,3072,1766,15,1290,1,2698,1436,15,1246,1,
Tripura,4923,4238,42,395,248,,558,478,11,63,6,484,410,9,60,5,
Uttar Pradesh,255087,137102,8291,96635,13059,,111643,76471,2420,30203,2549,103080,69879,2273,28578,2350,
Uttarakhand,22551,16201,614,5252,484,,2518,1277,86,1092,63,2234,1116,78,987,53,
West Bengal,93945,82307,72,7480,4086,,28783,24873,18,2701,1191,28783,24873,18,2701,1191,
