India/State/ UT,Total Schools,Number of schools having drinking water facility within school premises – Government,"No. of schoolsnot havingdrinking waterfacility withinschool premises","Percentage ofschools havingdrinking waterfacility withinschool premises",,,,,,
"",,"Any sourceof drinkingwater",Tap Water,"PackedWater",Hand Pump,Well,"UnprotectedWell","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,1017660,1000964,556685,12691,382390,12059,2585,33618,16696,98.4
Andaman & Nicobar Islands,340,340,297,1,2,8,11,21,0,100
Andhra Pradesh,45000,44993,31352,3513,8496,168,23,1441,7,100
Arunachal Pradesh,2847,2286,1958,8,241,37,14,28,561,80.3
Assam,45008,44255,24487,88,15948,2042,390,1270,753,98.3
Bihar,78120,74608,19239,525,54776,18,6,44,3512,95.5
Chandigarh,119,119,119,0,0,0,0,0,0,100
Chhattisgarh,48803,48298,16034,521,31189,110,39,405,505,99
"Dadra & Nagar Haveli andDaman & Diu",360,360,339,1,16,1,0,3,0,100
Delhi,2693,2693,2693,0,0,0,0,0,0,100
Goa,789,789,779,1,1,2,0,6,0,100
Gujarat,34597,34574,28491,364,4539,233,25,916,23,99.9
Haryana,14374,14371,11962,25,1304,125,3,952,3,100
Himachal Pradesh,15217,15217,15014,21,107,10,1,64,0,100
Jammu & Kashmir,18785,18651,15935,253,693,255,209,1306,134,99.3
Jharkhand,35795,35217,9089,102,24979,371,93,365,578,98.4
Karnataka,49306,49237,43669,810,2661,1143,45,909,69,99.9
Kerala,4809,4800,2338,20,449,1882,21,90,9,99.8
Ladakh,841,802,501,57,173,5,1,65,39,95.4
Lakshadweep,37,37,36,0,0,1,0,0,0,100
Madhya Pradesh,92439,92081,18480,1518,67844,821,354,3064,358,99.6
Maharashtra,65157,64627,45782,826,12664,1249,218,3888,530,99.2
Manipur,2934,2928,668,478,49,49,55,1604,6,99.8
Meghalaya,7779,4165,2945,70,159,381,295,315,3614,53.5
Mizoram,2587,2310,1760,45,3,19,13,470,277,89.3
Nagaland,1952,1266,828,71,45,65,20,237,686,64.9
Odisha,48671,48671,28414,1406,18030,163,43,614,0,100
Puducherry,420,420,404,0,10,1,0,5,0,100
Punjab,19242,19225,12826,13,3914,17,1,2454,17,99.9
Rajasthan,70233,68292,31385,798,25811,2236,217,7719,1941,97.2
Sikkim,864,862,851,5,0,2,1,3,2,99.8
Tamil Nadu,37672,37648,37410,0,48,19,0,135,24,99.9
Telangana,30022,28985,20789,808,5366,89,12,1650,1037,96.5
Tripura,4238,3958,2369,22,1001,126,166,274,280,93.4
Uttar Pradesh,137102,136125,71274,267,63499,29,6,1050,977,99.3
Uttarakhand,16201,15665,14253,54,1088,25,12,157,536,96.7
West Bengal,82307,82089,41915,0,37285,357,291,2094,218,99.7
