India/State/ UT,Total Schools,"Schools with Co-curricular activity room/arts and craftsroom facility available","Percentage of Schools with Co-curricular activityroom/arts and crafts room facility available",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471891,1017660,80313,331108,42810,257157,100656,27397,124766,4338,17.5,9.9,34.1,37.7,10.1
Andaman & Nicobar Islands,412,340,2,70,0,111,76,1,34,0,26.9,22.4,50,48.6,0
Andhra Pradesh,61373,45000,991,15232,150,11703,2557,233,8887,26,19.1,5.7,23.5,58.3,17.3
Arunachal Pradesh,3490,2847,72,529,42,485,182,39,253,11,13.9,6.4,54.2,47.8,26.2
Assam,56630,45008,2267,5725,3630,2597,1064,47,1450,36,4.6,2.4,2.1,25.3,1
Bihar,94686,78120,723,9167,6676,5227,2126,49,2471,581,5.5,2.7,6.8,27,8.7
Chandigarh,230,119,7,77,27,169,75,7,69,18,73.5,63,100,89.6,66.7
Chhattisgarh,56615,48803,414,7153,245,5420,3288,70,2048,14,9.6,6.7,16.9,28.6,5.7
"Dadra & Nagar Haveli andDaman & Diu",432,360,8,63,1,102,51,6,45,0,23.6,14.2,75,71.4,0
Delhi,5497,2693,239,2565,0,3493,1362,162,1969,0,63.5,50.6,67.8,76.8,0
Goa,1487,789,557,141,0,325,50,210,65,0,21.9,6.3,37.7,46.1,0
Gujarat,53626,34597,5535,13490,4,10070,1627,2097,6344,2,18.8,4.7,37.9,47,50
Haryana,23517,14374,5,8415,723,7622,2420,3,4959,240,32.4,16.8,60,58.9,33.2
Himachal Pradesh,17826,15217,0,2607,2,5346,3505,0,1841,0,30,23,0,70.6,0
Jammu & Kashmir,24296,18785,1,5452,58,2985,908,1,2060,16,12.3,4.8,100,37.8,27.6
Jharkhand,44475,35795,1146,1634,5900,4180,2073,130,934,1043,9.4,5.8,11.3,57.2,17.7
Karnataka,75869,49306,7013,19542,8,14135,2913,2071,9148,3,18.6,5.9,29.5,46.8,37.5
Kerala,15864,4809,7162,3082,811,4740,654,1548,2221,317,29.9,13.6,21.6,72.1,39.1
Ladakh,995,841,40,114,0,142,88,0,54,0,14.3,10.5,0,47.4,0
Lakshadweep,37,37,0,0,0,20,20,0,0,0,54.1,54.1,0,0,0
Madhya Pradesh,123412,92439,581,28910,1482,12533,3949,150,8390,44,10.2,4.3,25.8,29,3
Maharashtra,108237,65157,24173,18642,265,19082,2640,7349,9000,93,17.6,4.1,30.4,48.3,35.1
Manipur,4646,2934,584,1010,118,570,133,9,418,10,12.3,4.5,1.5,41.4,8.5
Meghalaya,14601,7779,4168,2152,502,545,106,238,170,31,3.7,1.4,5.7,7.9,6.2
Mizoram,3941,2587,230,1064,60,194,146,11,29,8,4.9,5.6,4.8,2.7,13.3
Nagaland,2725,1952,0,772,1,394,110,0,284,0,14.5,5.6,0,36.8,0
Odisha,61693,48671,5907,6042,1073,12047,7324,1652,2719,352,19.5,15,28,45,32.8
Puducherry,735,420,33,282,0,264,83,15,166,0,35.9,19.8,45.5,58.9,0
Punjab,27404,19242,444,7704,14,7962,3335,188,4438,1,29.1,17.3,42.3,57.6,7.1
Rajasthan,107757,70233,0,34729,2795,16474,6264,0,10125,85,15.3,8.9,0,29.2,3
Sikkim,1254,864,16,374,0,263,125,1,137,0,21,14.5,6.3,36.6,0
Tamil Nadu,58722,37672,8314,12481,255,58269,37658,8285,12102,224,99.2,100,99.7,97,87.8
Telangana,42901,30022,662,12126,91,7558,1504,117,5933,4,17.6,5,17.7,48.9,4.4
Tripura,4923,4238,42,395,248,422,253,9,140,20,8.6,6,21.4,35.4,8.1
Uttar Pradesh,255087,137102,8291,96635,13059,33386,7520,2463,22611,792,13.1,5.5,29.7,23.4,6.1
Uttarakhand,22551,16201,614,5252,484,3751,1276,206,2205,64,16.6,7.9,33.6,42,13.2
West Bengal,93945,82307,72,7480,4086,4571,3191,30,1047,303,4.9,3.9,41.7,14,7.4
