India/State/ UT,Percentage of Girls’ and Co-educational Schools with girl’s toilet facility,Percentage of Girls’ and Co-educational Schools with functional girl’s toilet facility,,,,,,,,
"","Allmanagement",Government.,"Government.aided",Pvt. unaided,Others,"Allmanagement",Government.,"Government.aided",Pvt. unaided,Others
(1),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
India,97.2,97.1,96.7,98.3,91.1,93.6,93.2,94.9,95.1,86.8
Andaman & Nicobar Islands,100,100,100,100,0,100,100,100,100,0
Andhra Pradesh,99.1,98.8,98.8,99.9,99.2,98.5,98.1,98.3,99.7,99.2
Arunachal Pradesh,89.7,87.7,100,98.5,95.2,70.2,64.2,98.6,97.2,92.9
Assam,92.3,97.6,65.2,96.6,37.3,88.4,94.3,53.8,92.9,29.9
Bihar,94.3,93.9,91.2,96.7,96.9,92.3,91.8,88.4,95.1,95.5
Chandigarh,100,100,100,100,100,100,100,100,100,100
Chhattisgarh,98.3,98.1,99.2,99.6,97.4,94.4,93.7,97.9,98.5,96.5
"Dadra & Nagar Haveli andDaman & Diu",100,100,100,100,0,100,100,100,100,0
Delhi,100,100,100,100,0,100,100,100,100,0
Goa,100,100,100,100,0,100,100,100,100,0
Gujarat,99.2,98.8,99.5,99.9,100,98,97.1,99.4,99.9,100
Haryana,99.3,99,100,99.9,100,98.6,98,100,99.6,99.7
Himachal Pradesh,99.6,99.6,0,100,100,99.4,99.3,0,99.8,100
Jammu & Kashmir,91.3,89.8,100,96.8,76.9,82.9,79.6,100,94.3,76.9
Jharkhand,99.2,99.3,92.7,99.8,99.3,97.2,97.2,88.6,99.1,98.2
Karnataka,99.2,98.9,99.9,99.7,100,98.6,98.1,99.8,99.6,100
Kerala,99.7,99.6,99.7,99.9,99.8,99.6,99.4,99.6,99.9,99.5
Ladakh,92.6,91.7,100,98.2,0,89.8,89,92.3,95.6,0
Lakshadweep,100,100,0,0,0,100,100,0,0,0
Madhya Pradesh,98.1,98.1,98.2,98.4,96.1,89.4,87.9,94.6,93.8,91.3
Maharashtra,97.5,95.9,99.8,99.7,98.4,94.4,91.2,99.4,98.9,98
Manipur,83.5,82.2,64.2,98.4,83.6,74.5,70.6,55.9,95.7,81
Meghalaya,82.3,86,81.8,72.8,69.1,69.7,71.3,70,65.1,62.5
Mizoram,90,88,92.2,93.9,100,80.9,75.3,87.8,92.2,98.3
Nagaland,89.4,86.6,0,96.4,100,78.2,71.6,0,95.1,100
Odisha,99,99.4,96,99.2,98,98.3,98.8,94.8,98.4,97.3
Puducherry,99.7,99.8,100,99.6,0,99.7,99.8,100,99.6,0
Punjab,99,98.8,100,99.5,91.7,98.2,98,98.9,98.7,83.3
Rajasthan,94.9,94.4,0,96.6,85.3,86.8,87.2,0,87.2,74.3
Sikkim,98.5,99,76.9,98.1,0,98,98.5,76.9,97.9,0
Tamil Nadu,97.6,97.9,99.3,95.8,87.4,95.5,94.7,99.3,95.8,87.4
Telangana,95,93.1,90.3,99.7,94.4,89.5,85.4,89.1,99.5,94.4
Tripura,89.7,90.3,100,97.7,63.8,74.3,73.7,100,92.1,52.4
Uttar Pradesh,98,97.9,97.6,98.3,97,94.5,95.3,93.9,93.9,90.3
Uttarakhand,94.5,93.6,95,96.9,96,87.3,86.3,89.7,90.6,83.3
West Bengal,99.8,99.9,100,99.3,99.1,99.8,99.9,100,99.3,99.1
