India/State/ UT,Total Schools,"Schools conducted medical checkups in last academicyear","Percentage of Schools conducted medical checkupsin last academic year",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471891,1017660,80313,331108,42810,1106301,827864,67127,195962,15348,75.2,81.3,83.6,59.2,35.9
Andaman & Nicobar Islands,412,340,2,70,0,390,323,2,65,0,94.7,95,100,92.9,0
Andhra Pradesh,61373,45000,991,15232,150,59621,44449,970,14067,135,97.1,98.8,97.9,92.4,90
Arunachal Pradesh,3490,2847,72,529,42,1527,1168,50,290,19,43.8,41,69.4,54.8,45.2
Assam,56630,45008,2267,5725,3630,39555,35709,883,2102,861,69.8,79.3,39,36.7,23.7
Bihar,94686,78120,723,9167,6676,27841,24061,122,2447,1211,29.4,30.8,16.9,26.7,18.1
Chandigarh,230,119,7,77,27,213,117,7,72,17,92.6,98.3,100,93.5,63
Chhattisgarh,56615,48803,414,7153,245,51537,46222,382,4745,188,91,94.7,92.3,66.3,76.7
"Dadra & Nagar Haveli andDaman & Diu",432,360,8,63,1,430,359,8,62,1,99.5,99.7,100,98.4,100
Delhi,5497,2693,239,2565,0,5454,2689,238,2527,0,99.2,99.9,99.6,98.5,0
Goa,1487,789,557,141,0,1429,778,523,128,0,96.1,98.6,93.9,90.8,0
Gujarat,53626,34597,5535,13490,4,46350,31922,4753,9673,2,86.4,92.3,85.9,71.7,50
Haryana,23517,14374,5,8415,723,20237,14092,4,5675,466,86.1,98,80,67.4,64.5
Himachal Pradesh,17826,15217,0,2607,2,16994,14776,0,2216,2,95.3,97.1,0,85,100
Jammu & Kashmir,24296,18785,1,5452,58,17838,14026,1,3773,38,73.4,74.7,100,69.2,65.5
Jharkhand,44475,35795,1146,1634,5900,26639,23339,697,724,1879,59.9,65.2,60.8,44.3,31.8
Karnataka,75869,49306,7013,19542,8,71126,47969,6668,16482,7,93.7,97.3,95.1,84.3,87.5
Kerala,15864,4809,7162,3082,811,13783,4469,6408,2319,587,86.9,92.9,89.5,75.2,72.4
Ladakh,995,841,40,114,0,885,762,32,91,0,88.9,90.6,80,79.8,0
Lakshadweep,37,37,0,0,0,36,36,0,0,0,97.3,97.3,0,0,0
Madhya Pradesh,123412,92439,581,28910,1482,84500,67083,361,16571,485,68.5,72.6,62.1,57.3,32.7
Maharashtra,108237,65157,24173,18642,265,100138,63035,22169,14767,167,92.5,96.7,91.7,79.2,63
Manipur,4646,2934,584,1010,118,1614,972,208,401,33,34.7,33.1,35.6,39.7,28
Meghalaya,14601,7779,4168,2152,502,9319,5406,2639,1031,243,63.8,69.5,63.3,47.9,48.4
Mizoram,3941,2587,230,1064,60,2651,1920,172,523,36,67.3,74.2,74.8,49.2,60
Nagaland,2725,1952,0,772,1,947,672,0,275,0,34.8,34.4,0,35.6,0
Odisha,61693,48671,5907,6042,1073,58107,46958,5365,4946,838,94.2,96.5,90.8,81.9,78.1
Puducherry,735,420,33,282,0,735,420,33,282,0,100,100,100,100,0
Punjab,27404,19242,444,7704,14,23266,18222,376,4665,3,84.9,94.7,84.7,60.6,21.4
Rajasthan,107757,70233,0,34729,2795,69623,51661,0,16832,1130,64.6,73.6,0,48.5,40.4
Sikkim,1254,864,16,374,0,1075,794,11,270,0,85.7,91.9,68.8,72.2,0
Tamil Nadu,58722,37672,8314,12481,255,58106,37648,8278,11956,224,99,99.9,99.6,95.8,87.8
Telangana,42901,30022,662,12126,91,33940,25562,386,7951,41,79.1,85.1,58.3,65.6,45.1
Tripura,4923,4238,42,395,248,4074,3608,32,278,156,82.8,85.1,76.2,70.4,62.9
Uttar Pradesh,255087,137102,8291,96635,13059,158573,109205,4773,40522,4073,62.2,79.7,57.6,41.9,31.2
Uttarakhand,22551,16201,614,5252,484,18937,15171,529,2946,291,84,93.6,86.2,56.1,60.1
West Bengal,93945,82307,72,7480,4086,78811,72261,47,4288,2215,83.9,87.8,65.3,57.3,54.2
