India/State/ UT,Total Schools,Schools with functional Tablets availability,"Percentage of Schools with functional  Tabletsavailability",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471891,1017660,80313,331108,42810,275857,225823,8271,40018,1745,18.7,22.2,10.3,12.1,4.1
Andaman & Nicobar Islands,412,340,2,70,0,12,2,0,10,0,2.9,0.6,0,14.3,0
Andhra Pradesh,61373,45000,991,15232,150,36659,30894,543,5161,61,59.7,68.7,54.8,33.9,40.7
Arunachal Pradesh,3490,2847,72,529,42,170,92,2,74,2,4.9,3.2,2.8,14,4.8
Assam,56630,45008,2267,5725,3630,25860,25575,15,259,11,45.7,56.8,0.7,4.5,0.3
Bihar,94686,78120,723,9167,6676,1880,270,8,1185,417,2,0.3,1.1,12.9,6.2
Chandigarh,230,119,7,77,27,139,116,1,19,3,60.4,97.5,14.3,24.7,11.1
Chhattisgarh,56615,48803,414,7153,245,9067,8570,7,487,3,16,17.6,1.7,6.8,1.2
"Dadra & Nagar Haveli andDaman & Diu",432,360,8,63,1,186,173,0,13,0,43.1,48.1,0,20.6,0
Delhi,5497,2693,239,2565,0,1999,1334,21,644,0,36.4,49.5,8.8,25.1,0
Goa,1487,789,557,141,0,73,23,31,19,0,4.9,2.9,5.6,13.5,0
Gujarat,53626,34597,5535,13490,4,37300,30616,4197,2487,0,69.6,88.5,75.8,18.4,0
Haryana,23517,14374,5,8415,723,15043,13417,0,1513,113,64,93.3,0,18,15.6
Himachal Pradesh,17826,15217,0,2607,2,420,174,0,246,0,2.4,1.1,0,9.4,0
Jammu & Kashmir,24296,18785,1,5452,58,2009,1472,0,534,3,8.3,7.8,0,9.8,5.2
Jharkhand,44475,35795,1146,1634,5900,11083,10451,67,175,390,24.9,29.2,5.8,10.7,6.6
Karnataka,75869,49306,7013,19542,8,5127,1887,262,2978,0,6.8,3.8,3.7,15.2,0
Kerala,15864,4809,7162,3082,811,962,198,198,465,101,6.1,4.1,2.8,15.1,12.5
Ladakh,995,841,40,114,0,213,203,2,8,0,21.4,24.1,5,7,0
Lakshadweep,37,37,0,0,0,5,5,0,0,0,13.5,13.5,0,0,0
Madhya Pradesh,123412,92439,581,28910,1482,34407,30284,13,4048,62,27.9,32.8,2.2,14,4.2
Maharashtra,108237,65157,24173,18642,265,11248,6143,2120,2948,37,10.4,9.4,8.8,15.8,14
Manipur,4646,2934,584,1010,118,271,131,0,134,6,5.8,4.5,0,13.3,5.1
Meghalaya,14601,7779,4168,2152,502,348,131,136,67,14,2.4,1.7,3.3,3.1,2.8
Mizoram,3941,2587,230,1064,60,152,108,3,37,4,3.9,4.2,1.3,3.5,6.7
Nagaland,2725,1952,0,772,1,486,410,0,76,0,17.8,21,0,9.8,0
Odisha,61693,48671,5907,6042,1073,17500,16578,236,591,95,28.4,34.1,4,9.8,8.9
Puducherry,735,420,33,282,0,65,11,2,52,0,8.8,2.6,6.1,18.4,0
Punjab,27404,19242,444,7704,14,2902,1886,7,1007,2,10.6,9.8,1.6,13.1,14.3
Rajasthan,107757,70233,0,34729,2795,4482,1360,0,3109,13,4.2,1.9,0,9,0.5
Sikkim,1254,864,16,374,0,358,313,1,44,0,28.5,36.2,6.3,11.8,0
Tamil Nadu,58722,37672,8314,12481,255,6196,4112,245,1809,30,10.6,10.9,2.9,14.5,11.8
Telangana,42901,30022,662,12126,91,14511,12358,14,2138,1,33.8,41.2,2.1,17.6,1.1
Tripura,4923,4238,42,395,248,334,303,0,28,3,6.8,7.1,0,7.1,1.2
Uttar Pradesh,255087,137102,8291,96635,13059,25601,18571,128,6658,244,10,13.5,1.5,6.9,1.9
Uttarakhand,22551,16201,614,5252,484,7670,7122,10,530,8,34,44,1.6,10.1,1.7
West Bengal,93945,82307,72,7480,4086,1119,530,2,465,122,1.2,0.6,2.8,6.2,3
