India/State/ UT,Total Schools,Schools having functional Projector availability,"Percentage of Schools having functional Projectoravailability",,,,,,,,,,,,
"","Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others,"Allmanagement","Government.","Government.aided","Pvt.unaided",Others
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16)
India,1471891,1017660,80313,331108,42810,298667,152292,34223,107921,4231,20.3,15,42.6,32.6,9.9
Andaman & Nicobar Islands,412,340,2,70,0,124,90,2,32,0,30.1,26.5,100,45.7,0
Andhra Pradesh,61373,45000,991,15232,150,16574,7313,143,9095,23,27,16.3,14.4,59.7,15.3
Arunachal Pradesh,3490,2847,72,529,42,962,687,48,220,7,27.6,24.1,66.7,41.6,16.7
Assam,56630,45008,2267,5725,3630,5777,4588,46,1131,12,10.2,10.2,2,19.8,0.3
Bihar,94686,78120,723,9167,6676,5686,2362,13,2461,850,6,3,1.8,26.8,12.7
Chandigarh,230,119,7,77,27,197,108,7,72,10,85.7,90.8,100,93.5,37
Chhattisgarh,56615,48803,414,7153,245,7095,5369,45,1679,2,12.5,11,10.9,23.5,0.8
"Dadra & Nagar Haveli andDaman & Diu",432,360,8,63,1,120,71,8,41,0,27.8,19.7,100,65.1,0
Delhi,5497,2693,239,2565,0,3348,1518,149,1681,0,60.9,56.4,62.3,65.5,0
Goa,1487,789,557,141,0,644,101,454,89,0,43.3,12.8,81.5,63.1,0
Gujarat,53626,34597,5535,13490,4,21920,9828,4007,8083,2,40.9,28.4,72.4,59.9,50
Haryana,23517,14374,5,8415,723,6733,2404,2,4136,191,28.6,16.7,40,49.2,26.4
Himachal Pradesh,17826,15217,0,2607,2,3343,2214,0,1129,0,18.8,14.5,0,43.3,0
Jammu & Kashmir,24296,18785,1,5452,58,3614,2376,0,1230,8,14.9,12.6,0,22.6,13.8
Jharkhand,44475,35795,1146,1634,5900,4671,2814,101,772,984,10.5,7.9,8.8,47.2,16.7
Karnataka,75869,49306,7013,19542,8,21596,9484,2516,9595,1,28.5,19.2,35.9,49.1,12.5
Kerala,15864,4809,7162,3082,811,14159,4625,6812,2374,348,89.3,96.2,95.1,77,42.9
Ladakh,995,841,40,114,0,206,144,3,59,0,20.7,17.1,7.5,51.8,0
Lakshadweep,37,37,0,0,0,34,34,0,0,0,91.9,91.9,0,0,0
Madhya Pradesh,123412,92439,581,28910,1482,10198,2745,76,7302,75,8.3,3,13.1,25.3,5.1
Maharashtra,108237,65157,24173,18642,265,52373,23951,15505,12786,131,48.4,36.8,64.1,68.6,49.4
Manipur,4646,2934,584,1010,118,614,168,8,428,10,13.2,5.7,1.4,42.4,8.5
Meghalaya,14601,7779,4168,2152,502,998,263,414,272,49,6.8,3.4,9.9,12.6,9.8
Mizoram,3941,2587,230,1064,60,497,211,70,204,12,12.6,8.2,30.4,19.2,20
Nagaland,2725,1952,0,772,1,514,158,0,355,1,18.9,8.1,0,46,100
Odisha,61693,48671,5907,6042,1073,6625,3691,930,1792,212,10.7,7.6,15.7,29.7,19.8
Puducherry,735,420,33,282,0,429,210,23,196,0,58.4,50,69.7,69.5,0
Punjab,27404,19242,444,7704,14,22236,18442,97,3696,1,81.1,95.8,21.8,48,7.1
Rajasthan,107757,70233,0,34729,2795,15215,8161,0,6911,143,14.1,11.6,0,19.9,5.1
Sikkim,1254,864,16,374,0,481,343,4,134,0,38.4,39.7,25,35.8,0
Tamil Nadu,58722,37672,8314,12481,255,20455,11701,1720,6946,88,34.8,31.1,20.7,55.7,34.5
Telangana,42901,30022,662,12126,91,11771,5168,130,6470,3,27.4,17.2,19.6,53.4,3.3
Tripura,4923,4238,42,395,248,884,726,14,139,5,18,17.1,33.3,35.2,2
Uttar Pradesh,255087,137102,8291,96635,13059,23994,9589,739,13348,318,9.4,7,8.9,13.8,2.4
Uttarakhand,22551,16201,614,5252,484,3246,1517,111,1612,6,14.4,9.4,18.1,30.7,1.2
West Bengal,93945,82307,72,7480,4086,11334,9118,26,1451,739,12.1,11.1,36.1,19.4,18.1
